name,district,bedroomNum,livingroomNum,bathroomNum,area,builtYear,direction,distance2SW,floorNum,type,price
远洋天地,cy,3,2,2,136.3,2004,en,658,26,mid,8600000
西钓鱼台嘉园,hd,3,2,2,154,2005,es,1800,18,high,16500000
凯德锦绣,cy,3,2,2,135.3,2012,es,1600,28,high,11500000
金地国际花园,cy,3,2,2,180.3,NA,sn,426,38,mid,19500000
通用时代国际公寓,cy,3,2,2,239.3,2007,ws,545,32,mid,20000000
远洋天地,cy,3,2,2,136.3,2004,en,658,26,mid,8600000
远洋天地,cy,3,2,2,136.3,2004,en,658,26,mid,8600000
远洋天地,cy,3,2,2,138.8,2002,es,658,30,high,9600000
通用时代国际公寓,cy,3,2,2,239.3,2007,ws,545,32,mid,20000000
城市广场,cy,3,1,1,165.2,1995,es,1300,26,mid,7600000
远洋天地,cy,3,2,2,136.3,2004,wn,658,26,mid,8580000
远洋天地,cy,3,2,2,150.2,2004,ew,658,24,high,10000000
远洋天地,cy,3,2,2,136.3,2004,en,658,26,mid,8600000
新怡家园,dc,2,1,2,132.3,2004,s,1300,15,high,18500000
SOHO现代城,cy,3,2,2,260,2003,w,532,31,high,10800000
颐源居,hd,3,2,2,142.2,1999,wn,1500,27,mid,13500000
颐源居,hd,3,2,2,142.2,1999,wn,1500,27,mid,13500000
远洋天地,cy,3,2,2,131.4,2002,ws,658,30,mid,9600000
颐源居,hd,3,2,2,142.2,1999,wn,1500,27,mid,13500000
颐源居,hd,3,2,2,142.2,1999,wn,1500,27,mid,13500000
光华里,cy,2,1,1,64.1,1984,sn,787,12,high,4950000
莲花池东路丙3号小区,xc,2,1,1,69.8,1987,wn,1400,16,high,8900000
远洋天地,cy,2,2,1,116.5,2002,es,658,30,mid,7800000
时代庐峰小区,sjs,2,2,1,108.3,2004,sn,354,24,high,6800000
远洋山水(北区),sjs,2,1,1,70.6,2008,e,1000,25,mid,5090000
远洋天地,cy,2,2,1,116.5,2002,es,658,30,mid,7800000
远洋山水(北区),sjs,2,1,1,69,2008,ew,1000,26,high,5250000
合生国际花园(东区),cy,2,1,1,104.7,2009,s,1400,18,mid,10420000
长安太和,dc,2,2,2,173,2012,n,808,27,mid,20480000
SOHO现代城,cy,2,2,2,114.7,2000,en,532,32,mid,7380000
缘溪堂,hd,4,2,5,392.4,2007,sn,1400,23,high,38520000
励骏华庭,dc,4,2,3,445,2018,sn,1100,20,high,51000000
西钓鱼台嘉园,hd,4,2,2,135,2006,n,1800,22,mid,14500000
远洋天地,cy,2,2,2,115.4,2004,n,658,26,mid,6350000
西钓鱼台嘉园,hd,8,3,6,788,2005,sn,1800,22,high,88000000
梵悦108,cy,4,2,3,185,2021,sn,686,25,high,20880000
国悦府,hd,4,2,3,397.9,2012,sn,145,20,mid,35990000
古城南路小区(东区),sjs,2,1,1,56,1987,sn,457,6,high,2550000
新城国际,cy,2,2,1,95,2008,s,1400,8,high,11000000
华业玫瑰东方,cy,2,2,1,99.5,2007,ew,1900,11,mid,8700000
新城国际,cy,2,2,1,95,2008,s,1400,10,mid,11000000
三里河二区住宅小区B区,xc,3,1,1,85.9,1959,sn,933,4,house,10800000
复兴门外大街26号小区,xc,2,1,1,58.2,1989,e,198,10,mid,8200000
老山东里(南区),sjs,3,1,1,61.6,1986,sn,1200,6,mid,3550000
远洋山水(南区),sjs,3,2,2,138.2,2007,ws,1400,26,low,8650000
远洋山水(南区),sjs,3,1,2,147.6,2006,sn,1400,12,low,13000000
双花园西里小区,cy,3,1,1,74.2,1997,es,1600,7,high,5450000
什坊院3号院,hd,2,1,1,56.1,1990,ws,1500,6,mid,4600000
苹果园一区,sjs,2,1,1,59.2,1987,sn,1400,6,mid,3300000
远洋山水(南区),sjs,3,2,2,147,2008,sn,1400,18,low,11850000
远洋天地,cy,4,2,2,162,2002,sn,658,9,high,11500000
丰汇园小区,xc,4,2,3,153,2000,sn,1700,6,high,23500000
霞公府,dc,5,2,4,591,2011,sn,404,7,high,95000000
丰汇园小区,xc,4,2,4,153,2000,sn,1700,6,high,23500000
鲁谷永乐西区,sjs,2,1,1,62.2,1992,ew,1500,6,mid,2990000
甘露西园,cy,2,1,1,84.8,2000,sn,1400,14,mid,4300000
甘露园西里,cy,2,1,1,84,2000,sn,1400,14,mid,4780000
灵通观,cy,2,1,1,56,1986,sn,805,6,low,3700000
丰汇园小区,xc,4,2,3,153,2000,sn,1700,6,high,23500000
新城国际,cy,1,1,1,75.6,2008,n,1400,30,low,8100000
苹果社区(南区),cy,2,2,1,96.1,2005,s,1900,22,low,8600000
金台里,cy,2,1,1,62.1,1980,ew,1400,6,high,4000000
建外SOHO西区,cy,1,1,1,196.8,2003,wn,639,26,low,8100000
紫荆豪庭,cy,3,2,2,144.6,2003,ws,1900,3,house,7300000
建外SOHO西区,cy,3,2,2,198,2005,es,639,30,low,10500000
远洋山水(北区),sjs,3,1,2,147.6,2008,sn,1000,12,low,8800000
上国阙,xc,4,2,2,295,2014,sn,818,15,mid,47000000
建外SOHO西区,cy,3,1,2,198,2003,es,639,29,low,10200000
诗景长安,sjs,2,1,1,92,2012,sn,1300,27,low,5600000
新世界中心公寓,dc,1,0,1,58.3,1999,ws,1200,16,high,3900000
八角北里,sjs,2,1,1,63.6,1986,sn,1700,6,low,3200000
新城国际,cy,3,2,2,178.8,2003,ws,1400,35,low,18000000
万寿园小区,hd,2,2,1,101.6,1997,w,1200,18,mid,9500000
远洋天地,cy,1,1,1,80.8,2004,en,658,17,high,5750000
新城国际,cy,3,2,2,178.8,2003,sn,1400,36,low,18000000
万寿园小区,hd,2,1,1,101,1997,w,1200,18,mid,9500000
銮庆胡同小区,dc,6,2,2,220,1949,sn,1700,1,house,21000000
梵悦108,cy,1,2,1,129.7,2018,s,686,24,low,16000000
励骏华庭,dc,2,1,1,267.5,2006,sn,1100,20,low,39000000
缘溪堂,hd,4,2,6,519.3,2008,sn,1400,20,low,47990000
新城国际,cy,2,1,1,178.8,2006,ws,1400,35,low,18000000
远洋山水(南区),sjs,2,1,1,107.3,2008,s,1400,24,high,6580000
远洋山水(南区),sjs,2,2,1,107.5,2008,s,1400,24,high,6650000
缘溪堂,hd,4,2,5,500,2007,sn,1400,23,low,46500000
东区国际公寓,cy,2,2,2,123,2005,e,1200,32,low,7300000
富力城(B区),cy,4,2,1,293,2005,sn,1800,11,high,26000000
西钓鱼台嘉园,hd,3,3,3,253,2005,ws,1800,26,low,25300000
首创禧瑞都,cy,1,1,1,110.5,2000,w,1900,24,high,9900000
非常生活,cy,1,1,1,64.7,2004,w,1600,23,high,4500000
新世界太华公寓,dc,1,1,2,107,NA,n,1600,19,mid,6490000
富力城(A区),cy,2,2,1,85,2004,wn,1900,30,high,9200000
后现代城(A区),cy,3,1,2,132,2003,s,1700,14,high,9270000
缘溪堂,hd,4,2,6,390.1,2008,sn,1400,20,low,34990000
金地国际花园,cy,3,2,2,180.3,2005,sn,426,38,mid,19500000
建外SOHO西区,cy,3,1,2,198,2003,es,639,25,high,10200000
东恒时代二期,cy,3,2,2,124.4,2006,sn,895,21,high,10700000
蓝堡国际公寓,cy,3,2,3,155.2,2003,sn,367,21,high,12000000
蓝堡国际公寓,cy,3,2,2,158,2003,sn,367,25,high,13330000
新城国际,cy,3,2,3,194.5,2006,wn,1400,36,high,21000000
建外SOHO西区,cy,3,2,2,199.4,2003,es,639,29,low,10000000
颐源居,hd,3,2,2,142.2,1999,es,1500,27,mid,13900000
东区国际公寓,cy,3,2,2,215,2005,es,1200,29,high,12000000
缘溪堂,hd,3,2,4,311.3,2008,sn,1400,20,mid,33000000
城市广场,cy,3,1,1,105.9,1995,ws,1300,29,high,5300000
首创爱这城(二期),cy,3,2,2,160.3,2008,sn,1200,18,mid,13200000
缘溪堂,hd,3,2,5,325,2007,sn,1400,23,mid,33000000
燕华苑,cy,3,2,2,208.4,1998,sn,642,30,mid,12200000
SOHO现代城,cy,3,2,1,177,2001,sn,532,36,low,9580000
SOHO现代城,cy,3,2,1,177.9,2001,sn,532,36,low,12000000
颐源居,hd,3,2,2,142.2,1999,wn,1500,27,mid,13500000
颐源居,hd,3,2,2,142.2,1999,wn,1500,27,mid,13500000
颐源居,hd,3,2,2,142.2,1999,wn,1500,27,mid,13500000
苹果社区(北区),cy,2,1,1,64,2006,s,1700,12,high,6370000
新城国际,cy,2,2,2,124,2003,e,1400,35,high,14300000
励骏华庭,dc,2,2,2,268,2008,en,1100,20,mid,43000000
新城国际,cy,4,2,3,264.4,2004,sn,1400,33,high,26200000
缘溪堂,hd,4,2,3,392.4,2007,sn,1400,21,high,38520000
富力十号,cy,4,2,4,288.5,2015,sn,1800,18,mid,43500000
新城国际,cy,2,2,2,124.2,2003,e,1400,35,high,14300000
西钓鱼台嘉园,hd,8,3,6,788,2005,sn,1800,22,high,88000000
东方瑞景,cy,2,1,2,148,2004,es,702,31,high,10000000
紫金长安,hd,4,2,2,253,2006,sn,1400,18,high,35000000
缘溪堂,hd,4,2,5,392.4,2007,sn,1400,23,high,38520000
东区国际公寓,cy,2,2,2,130.1,2005,w,1200,26,high,8500000
东方瑞景,cy,2,2,2,147,2005,ws,702,31,high,10800000
蓝堡国际公寓,cy,2,2,2,135.8,2015,s,367,21,mid,11800000
东方瑞景,cy,2,2,2,147,2004,ws,702,31,high,10800000
丽晶苑,cy,4,3,4,352,1996,en,104,22,high,22600000
前门西河沿街,xc,1,1,1,13,2000,sn,1300,1,house,2580000
前门大栅栏,xc,1,1,1,10.6,2000,s,1800,1,house,1900000
金顶街(二区),sjs,2,2,1,40,2014,sn,1300,12,mid,1530000
南文昌胡同小区,xc,1,1,0,18,2000,s,621,1,house,2600000
国风长安云棠,ft,5,2,4,500,2017,sn,1500,4,house,23990000
南池子大街49号四合院,dc,2,0,0,23,2000,sn,677,1,house,4800000
上国阙,xc,2,2,2,163,2009,sn,818,17,high,31000000
新世界太华公寓,dc,1,2,2,107.2,1999,s,1600,19,high,6900000
颐源居,hd,3,2,2,143,2000,ws,1500,27,mid,13500000
甘露园南里一社区(甘露园南里一区),cy,1,1,1,42.9,1992,s,1300,6,high,2580000
六场宿舍,sjs,1,1,1,43.7,1988,s,NA,6,high,2500000
甘露家园,cy,1,1,1,45.6,1987,s,NA,5,house,2460000
甘露园南里一社区(甘露园南里一区),cy,1,1,1,46.2,1999,es,1300,6,mid,2550000
玉泉西街1号院,sjs,1,1,1,46.6,1994,e,1600,7,high,2530000
甘露园南里二社区(甘露园南里二区),cy,1,1,1,43.2,1994,ws,1500,6,mid,2540000
七星园,sjs,1,0,1,52.8,1994,en,1200,6,high,2490000
鲁谷永乐西区,sjs,1,1,1,44,1992,ew,1500,6,high,2530000
石景山杨庄小区(首钢杨庄小区),sjs,1,1,1,49.8,1994,sn,1900,6,mid,2580000
甘露园南里一社区(甘露园南里一区),cy,1,1,1,45.4,1996,ws,1300,6,mid,2490000
八角北里,sjs,1,1,1,43.9,1987,s,1700,6,mid,2490000
金顶街四区,sjs,3,0,1,58.2,1980,ew,875,6,high,2490000
慈云寺小区(南区),cy,1,1,1,36.2,1997,en,1200,7,high,2450000
首钢古北居民区,sjs,2,1,1,58.9,1996,ew,NA,6,high,2580000
六场宿舍,sjs,1,1,1,43.7,1988,s,NA,6,high,2500000
甘露园南里一社区(甘露园南里一区),cy,1,1,1,42.9,1992,s,1300,6,high,2580000
甘露家园,cy,1,1,1,45.6,1987,s,NA,5,house,2460000
石景山杨庄小区(首钢杨庄小区),sjs,1,1,1,49.8,1994,sn,1900,6,mid,2580000
甘露园南里一社区(甘露园南里一区),cy,1,1,1,46.2,1995,es,1300,6,mid,2550000
甘露园南里一社区(甘露园南里一区),cy,1,1,1,45.4,1996,ws,1300,6,mid,2490000
甘露园南里二社区(甘露园南里二区),cy,1,1,1,43.2,1994,ws,1500,6,mid,2540000
七星园,sjs,1,0,1,52.8,1994,en,1200,6,high,2490000
八角北里,sjs,1,1,1,43.9,1987,s,1700,6,mid,2490000
慈云寺小区(南区),cy,1,1,1,36.2,1997,en,1200,7,high,2450000
六场宿舍,sjs,1,1,1,43.7,1988,s,NA,6,high,2500000
甘露园南里一社区(甘露园南里一区),cy,1,1,1,42.9,1992,s,1300,6,high,2580000
甘露家园,cy,1,1,1,45.6,1987,s,NA,5,house,2460000
甘露园南里二社区(甘露园南里二区),cy,1,1,1,43.2,1994,ws,1500,6,mid,2540000
八角北里,sjs,1,1,1,43.9,1987,s,1700,6,mid,2490000
甘露园南里一社区(甘露园南里一区),cy,1,1,1,45.4,1996,ws,1300,6,mid,2490000
甘露园南里一社区(甘露园南里一区),cy,1,1,1,46.2,1995,es,1300,6,mid,2550000
石景山杨庄小区(首钢杨庄小区),sjs,1,1,1,49.8,1994,sn,1900,6,mid,2580000
甘露家园,cy,1,1,1,45.6,1987,s,NA,5,house,2460000
甘露园南里二社区(甘露园南里二区),cy,1,1,1,43.2,1994,ws,1500,6,mid,2540000
甘露园南里一社区(甘露园南里一区),cy,1,1,1,46.2,1995,es,1300,6,mid,2550000
石景山杨庄小区(首钢杨庄小区),sjs,1,1,1,49.8,1994,sn,1900,6,mid,2580000
八角北里,sjs,1,1,1,43.9,1987,s,1700,6,mid,2490000
甘露家园,cy,1,1,1,45.6,1987,s,NA,5,house,2460000
石景山杨庄小区(首钢杨庄小区),sjs,1,1,1,49.8,1994,sn,1900,6,mid,2580000
甘露园南里二社区(甘露园南里二区),cy,1,1,1,43.2,1993,ws,1500,6,mid,2540000
八角北里,sjs,1,1,1,43.9,1987,s,1700,6,mid,2490000
甘露家园,cy,1,1,1,45.6,1987,s,NA,5,house,2460000
八角北里,sjs,1,1,1,43.9,1987,s,1700,6,mid,2490000
甘露园南里二社区(甘露园南里二区),cy,1,1,1,43.2,1994,ws,1500,6,mid,2540000
八角北里,sjs,1,1,1,43.9,1987,s,1700,6,mid,2490000
首钢古城西路居民区,sjs,2,1,1,57.8,1989,ew,NA,6,high,2550000
赵山小区,sjs,2,1,1,59.6,1999,ew,NA,6,high,2400000
古城南路小区(东区),sjs,2,1,1,55.7,1987,sn,457,6,high,2550000
首钢古北居民区,sjs,2,1,1,57.9,1989,sn,NA,6,high,2590000
老山东里(南区),sjs,2,1,1,50.3,1983,sn,1200,6,high,2430000
古城南路小区(东区),sjs,2,1,1,55.7,1987,sn,457,6,high,2550000
老山西里,sjs,2,1,1,49.8,1982,sn,721,6,high,2480000
古城南路小区(西区),sjs,2,1,1,56,1987,sn,632,6,high,2540000
首钢古北居民区,sjs,2,1,1,58.9,1996,ew,NA,6,high,2580000
古城南路小区(东区),sjs,2,1,1,48.8,1977,sn,457,6,high,2490000
金家村1号院,ft,1,1,1,38.3,1998,n,NA,6,mid,2550000
古城南路小区(东区),sjs,1,1,1,43.4,2003,sn,457,5,house,2550000
红庙北里,cy,1,1,1,46,2000,s,1600,4,house,2430000
延静里中街小区,cy,2,1,1,45.9,1958,sn,NA,4,house,2460000
苹果园四区,sjs,2,1,1,46.9,1979,sn,NA,5,house,2490000
苹果园四区,sjs,2,1,1,46.9,1979,sn,NA,5,house,2490000
八角北路社区,sjs,2,1,1,48.7,1982,sn,NA,6,high,2400000
老山东里(南区),sjs,2,1,1,50.3,1983,sn,1200,6,high,2540000
首钢古北居民区,sjs,2,1,1,51.3,1985,s,NA,6,mid,2480000
石景山杨庄小区(首钢杨庄小区),sjs,2,1,1,56.7,1986,s,1900,6,mid,2520000
首钢古城西路居民区,sjs,2,1,1,54.1,1989,sn,NA,6,mid,2450000
八角北路社区,sjs,2,1,1,50.4,1988,sn,NA,6,high,2490000
八角北路社区,sjs,2,1,1,50.4,1988,sn,NA,6,high,2490000
八角北路社区,sjs,2,1,1,52.3,1988,sn,NA,6,high,2450000
模式口东里西区,sjs,2,1,1,52.5,1991,ew,1900,6,mid,2490000
首钢古城路小区(东区),sjs,2,1,1,50.5,1979,s,762,6,mid,2480000
苹果园路甲23号院,sjs,2,1,1,55.3,1993,ew,1600,6,mid,2580000
石景山杨庄小区(首钢杨庄小区),sjs,2,1,1,56,1989,s,1900,6,mid,2520000
模式口东里西区,sjs,2,1,1,56.1,1990,e,1900,6,high,2460000
古城南路小区(东区),sjs,2,1,1,55.7,1987,sn,457,6,high,2550000
老山西里,sjs,2,1,1,49.8,1982,sn,721,6,high,2480000
老山东里(南区),sjs,2,1,1,50.3,1983,sn,1200,6,high,2430000
金家村1号院,ft,1,1,1,38.3,1998,n,NA,6,mid,2550000
苹果园四区,sjs,2,1,1,46.9,1979,sn,NA,5,house,2490000
延静里中街小区,cy,2,1,1,45.9,1958,sn,NA,4,house,2460000
苹果园四区,sjs,2,1,1,46.9,1979,sn,NA,5,house,2400000
八角北路社区,sjs,2,1,1,50.4,1988,sn,NA,6,high,2490000
首钢古城路小区(东区),sjs,2,1,1,50.5,1979,s,762,6,mid,2480000
八角北路社区,sjs,2,1,1,48.7,1982,sn,NA,6,high,2400000
石景山杨庄小区(首钢杨庄小区),sjs,2,1,1,56.7,1986,s,1900,6,mid,2520000
八角北路社区,sjs,2,1,1,52.3,1989,sn,NA,6,high,2510000
八角北路社区,sjs,2,1,1,50.4,1988,sn,NA,6,high,2490000
老山东里(南区),sjs,2,1,1,50.3,1983,sn,1200,6,high,2430000
老山西里,sjs,2,1,1,49.8,1982,sn,721,6,high,2480000
苹果园四区,sjs,2,1,1,46.9,1979,sn,NA,5,house,2490000
八角北路社区,sjs,2,1,1,50.4,1988,sn,NA,6,high,2490000
苹果园四区,sjs,2,1,1,46.9,1979,sn,NA,6,mid,2490000
八角北路社区,sjs,2,1,1,48.7,1982,sn,NA,6,high,2400000
八角北路社区,sjs,2,1,1,52.3,1988,sn,NA,6,high,2510000
石景山杨庄小区(首钢杨庄小区),sjs,2,1,1,56.7,1986,s,1900,6,mid,2520000
老山东里(南区),sjs,2,1,1,50.3,1983,sn,1200,6,high,2430000
苹果园四区,sjs,2,1,1,46.9,1979,sn,NA,5,house,2490000
苹果园四区,sjs,2,1,1,46.9,1979,sn,NA,6,mid,2490000
八角北路社区,sjs,2,1,1,48.7,1982,sn,NA,6,high,2400000
石景山杨庄小区(首钢杨庄小区),sjs,2,1,1,56.7,1986,s,1900,6,mid,2520000
苹果园四区,sjs,2,1,1,46.9,1979,sn,NA,5,house,2490000
八角北路社区,sjs,2,1,1,48.7,1982,sn,NA,6,high,2400000
石景山杨庄小区(首钢杨庄小区),sjs,2,1,1,56.7,1986,s,1900,6,mid,2520000
八角北路社区,sjs,2,1,1,48.7,1982,sn,NA,6,high,2400000
八角北路社区,sjs,2,1,1,48.7,1982,sn,NA,6,high,2400000
老山东里(南区),sjs,2,1,1,50.3,1983,sn,1200,6,high,2540000
八角北路社区,sjs,2,1,1,48.7,1982,sn,NA,6,high,2400000
八角北路社区,sjs,2,1,1,52.3,1988,sn,NA,6,high,2510000
石景山杨庄小区(首钢杨庄小区),sjs,2,1,1,56.7,1986,s,1900,6,mid,2520000
首钢古北居民区,sjs,2,1,1,51.3,1985,s,NA,6,mid,2480000
石景山杨庄小区(首钢杨庄小区),sjs,2,1,1,56.7,1989,s,1900,6,mid,2480000
呼家楼南里,cy,1,1,1,41.3,1958,ws,1800,4,house,3500000
远洋山水(南区),sjs,1,1,1,54,2007,w,1400,27,low,3630000
五芳园,sjs,2,1,1,64,1993,sn,1800,6,high,2550000
五芳园,sjs,2,1,1,64,1993,s,1800,6,high,2590000
盛今佳园,ft,2,1,1,34,2008,s,1800,9,mid,2580000
鲁谷永乐西区,sjs,2,1,1,61.1,1986,sn,1500,6,high,2520000
三丰里,cy,1,1,1,48.3,1991,ws,NA,6,mid,3550000
长安6号小区,cy,1,1,1,48,2006,n,1000,18,low,2480000
康家园,cy,1,1,1,45.1,1990,sn,1200,6,high,2600000
槐柏树街北里,xc,1,1,1,47.8,1992,es,1400,6,high,4680000
金港国际,cy,1,1,1,58.8,2005,e,NA,11,mid,5100000
八角北里,sjs,1,1,1,42.2,1986,s,1700,6,high,2190000
康家园,cy,1,1,1,45.1,1990,sn,1200,6,high,2600000
康家园,cy,1,1,1,50.2,1995,ws,1200,6,high,3080000
槐柏树街北里,xc,1,1,1,47.8,1991,ws,1400,6,high,4600000
钟声胡同小区,xc,1,1,1,46.9,1988,s,NA,6,high,6500000
建邦礼仕阁,xc,1,1,1,56.9,2010,w,NA,11,mid,7000000
金港国际,cy,1,1,1,58.8,2005,e,NA,11,high,4800000
甘露园南里一社区(甘露园南里一区),cy,1,1,1,57.7,1999,s,1300,6,high,2650000
庄胜二期,xc,1,1,1,50.7,2004,sn,NA,11,mid,7790000
五芳园,sjs,1,1,1,43.4,1993,s,1800,6,high,2300000
玉泉路15号院,hd,1,1,1,43.4,1986,s,1200,6,high,3600000
乔建里,hd,1,1,1,44.3,1991,s,769,6,high,4250000
金港国际,cy,1,1,1,58.8,2007,e,NA,11,mid,5100000
三丰里,cy,1,1,1,48.3,1994,w,NA,6,high,3300000
远洋山水(南区),sjs,1,1,1,54,2008,w,1400,27,low,3630000
五芳园,sjs,2,1,1,64,1993,sn,1800,6,high,2550000
鲁谷永乐西区,sjs,2,1,1,61.1,1986,sn,1500,6,high,2520000
五芳园,sjs,2,1,1,64,1993,s,1800,6,high,2590000
钟声胡同小区,xc,1,1,1,46.9,1988,s,NA,6,high,6500000
八角北里,sjs,1,1,1,42.2,1986,s,1700,6,high,2190000
金港国际,cy,1,1,1,58.8,2004,e,NA,11,high,4800000
槐柏树街北里,xc,1,1,1,47.8,1991,ws,1400,6,high,4600000
槐柏树街北里,xc,1,1,1,47.8,1992,es,1400,6,high,4680000
乔建里,hd,1,1,1,44.3,1991,s,769,6,high,4250000
庄胜二期,xc,1,1,1,50.7,2004,sn,NA,11,mid,7790000
甘露园南里一社区(甘露园南里一区),cy,1,1,1,57.7,2000,s,1300,6,high,2650000
远洋山水(南区),sjs,1,1,1,54,2006,w,1400,27,low,3630000
鲁谷永乐西区,sjs,2,1,1,61.1,1986,sn,1500,6,high,2520000
五芳园,sjs,2,1,1,64,1993,sn,1800,6,high,2550000
八角北里,sjs,1,1,1,42.2,1986,s,1700,6,high,2190000
槐柏树街北里,xc,1,1,1,47.8,1992,es,1400,6,high,4680000
钟声胡同小区,xc,1,1,1,46.9,1988,s,NA,6,high,6500000
甘露园南里一社区(甘露园南里一区),cy,1,1,1,57.7,2000,s,1300,6,high,2650000
庄胜二期,xc,1,1,1,50.7,2005,sn,NA,11,mid,7790000
鲁谷永乐西区,sjs,2,1,1,61.1,1986,sn,1500,6,high,2520000
五芳园,sjs,2,1,1,64,1993,sn,1800,6,high,2550000
八角北里,sjs,1,1,1,42.2,1986,s,1700,6,high,2190000
五芳园,sjs,2,1,1,64,1993,sn,1800,6,high,2550000
鲁谷永乐西区,sjs,2,1,1,61.1,1986,sn,1500,6,high,2520000
八角北里,sjs,1,1,1,42.2,1986,s,1700,6,high,2190000
五芳园,sjs,2,1,1,64,1993,sn,1800,6,high,2550000
鲁谷永乐西区,sjs,2,1,1,61.1,1986,sn,1500,6,high,2520000
八角北里,sjs,1,1,1,42.2,1986,s,1700,6,high,2190000
苏州胡同小区,dc,1,1,1,43.6,1985,es,320,6,high,4650000
玉泉西街1号院,sjs,1,1,1,53.9,1999,sn,1600,6,high,2720000
甘露园南里一社区(甘露园南里一区),cy,1,1,1,57.7,2000,s,1300,6,high,2650000
鲁谷永乐西区,sjs,1,1,1,45.3,1991,sn,1500,6,high,2300000
建邦礼仕阁,xc,1,1,1,56.9,2010,w,NA,11,mid,7000000
新景家园(西区),dc,1,1,1,54.9,2004,sn,NA,6,high,6150000
